Neighborhood,OverallQual,GarageType,LotArea,YearBuilt,HouseStyle,SalePrice
Gilbert,7,BuiltIn,7750,2000,SLvl,180000
CollgCr,7,BuiltIn,9965,2007,2Story,383970
Crawfor,6,Basment,21000,1953,1Story,217000
Crawfor,6,Detchd,7259,1945,2Story,259500
Somerst,6,Detchd,3230,1999,2Story,176000
Sawyer,5,Attchd,11616,1962,1Story,139000
Edwards,5,Attchd,8536,2006,1Story,155000
SawyerW,7,Attchd,12376,1990,2Story,320000
CollgCr,6,Attchd,8461,2005,2Story,163990
ClearCr,6,Attchd,21453,1969,SLvl,180000
IDOTRR,4,Detchd,6060,1939,1.5Fin,100000
NAmes,6,Attchd,9464,1958,1Story,136000
SawyerW,6,Attchd,7892,1993,1Story,153900
NWAmes,6,Attchd,17043,1979,1Story,181000
IDOTRR,6,NA,6780,1935,1.5Fin,84500
NPkVill,6,Attchd,4928,1976,1Story,128000
OldTown,5,NA,4388,1930,1.5Unf,87000
NAmes,6,Attchd,7590,1966,2Story,155000
NAmes,5,2Types,8973,1958,1Story,150000
NAmes,7,Attchd,14200,1966,2Story,226000
Gilbert,6,BuiltIn,12224,2000,2Story,244000
NAmes,5,Detchd,7388,1959,1Story,150750
Timber,8,Attchd,6853,2001,1Story,220000
Sawyer,5,Attchd,10335,1968,1Story,180000
NWAmes,7,Attchd,10400,1970,1Story,174000
NAmes,5,Attchd,10355,1967,1Story,143000
Mitchel,7,2Types,11070,1988,1Story,171000
CollgCr,8,Attchd,9066,1999,2Story,230000
CollgCr,6,Attchd,15426,1997,2Story,231500
NAmes,4,NA,10500,1971,1Story,115000
CollgCr,7,Attchd,11645,2005,1Story,260000
NAmes,5,Detchd,8520,1952,1.5Fin,166000
CollgCr,7,Attchd,10335,1999,1Story,204000
Sawyer,5,Detchd,9100,1963,1Story,125000
Edwards,6,Detchd,2522,2004,2Story,130000
BrkSide,5,Detchd,6120,1931,1Story,105000
Gilbert,7,BuiltIn,9505,2001,2Story,222500
SawyerW,7,NA,7500,2004,1Story,141000
BrkSide,5,Detchd,6240,1936,1.5Fin,115000
CollgCr,5,Attchd,10356,1975,1Story,122000
NridgHt,8,Attchd,13891,2007,1Story,372402
NWAmes,6,Attchd,14803,1971,2Story,190000
ClearCr,6,Attchd,13500,1960,1Story,235000
OldTown,6,Detchd,11340,1923,1Story,125000
Edwards,6,NA,9600,1924,1.5Fin,79000
NAmes,5,Detchd,7200,1950,1Story,109500
Timber,8,BuiltIn,12003,2009,2Story,269500
Somerst,7,Attchd,12552,2004,2Story,254900
Gilbert,7,Attchd,19378,2005,2Story,320000
Veenker,6,Attchd,11120,1984,1Story,162500
NridgHt,9,BuiltIn,13688,2003,2Story,412500
NridgHt,7,Attchd,12182,2005,1Story,220000
OldTown,4,NA,5500,1956,1.5Unf,103200
OldTown,6,Detchd,5400,1926,1Story,152000
Edwards,5,NA,10106,1940,1.5Fin,127500
ClearCr,5,Attchd,10708,1955,1Story,190000
NridgHt,8,Attchd,10562,2007,2Story,325624
Gilbert,7,Attchd,8244,2004,2Story,183500
Timber,8,Attchd,16669,1981,1Story,228000
OldTown,5,Detchd,12358,1941,1.5Fin,128500
NAmes,6,Attchd,31770,1960,1Story,215000
StoneBr,7,Attchd,5306,1987,2Story,239000
NAmes,6,Attchd,10197,1961,1Story,163000
Timber,6,Attchd,12416,1986,1Story,184000
Edwards,6,Attchd,12615,1950,1Story,243000
ClearCr,6,Attchd,10029,1988,2Story,211000
Sawyer,5,Attchd,13650,1958,1.5Fin,172500
StoneBr,9,Attchd,17423,2008,1Story,501837
OldTown,5,Detchd,8520,1923,1Story,100000
Somerst,6,Detchd,2117,2000,2Story,177000
Crawfor,7,Detchd,7588,1920,2Story,200100
Edwards,5,Attchd,9060,1957,1Story,120000
OldTown,7,Detchd,11426,2003,1.5Fin,200000
BrkSide,5,Attchd,7438,1908,1.5Fin,127000
OldTown,10,Detchd,22950,1892,2.5Fin,475000
Mitchel,7,Attchd,9947,1990,SLvl,173000
OldTown,5,Detchd,10410,1916,1.5Fin,135000
SawyerW,5,Detchd,7018,1979,SFoyer,153337
StoneBr,8,Attchd,4923,2001,1Story,286000
Crawfor,8,Detchd,10570,1932,2Story,315000
NAmes,7,Attchd,7472,1972,2Story,184000
CollgCr,7,Attchd,9017,1999,1Story,192000
Edwards,7,Detchd,2522,2004,2Story,130000
CollgCr,5,Detchd,7180,1972,1Story,127000
NPkVill,6,Attchd,2280,1976,2Story,148500
Somerst,7,Attchd,9416,2007,1Story,311872
NAmes,8,Detchd,25419,1918,2Story,235000
OldTown,6,NA,5520,1912,2.5Fin,104000
NridgHt,8,Attchd,9591,2004,1Story,274900
Edwards,4,Attchd,8546,2003,1Story,140000
Mitchel,6,Detchd,10125,1977,1Story,171500
OldTown,6,Attchd,7000,1924,1.5Fin,112000
CollgCr,6,Attchd,4438,2004,1Story,149000
OldTown,5,Detchd,3500,1947,1.5Fin,110000
Gilbert,7,Attchd,11851,1990,1Story,180500
Sawyer,5,Attchd,13673,1962,1Story,143900
NAmes,4,Attchd,12493,1960,1Story,141000
SawyerW,7,Attchd,14364,1988,2Story,277000
NAmes,6,Attchd,8250,1964,1Story,145000
Edwards,5,NA,5604,1925,1Story,98000
Edwards,6,Attchd,10420,2009,1Story,186000
Somerst,7,Attchd,8640,2009,2Story,252678
CollgCr,5,Attchd,13568,1995,1Story,156000
CollgCr,6,Attchd,10900,1977,2Story,161750
NAmes,5,Attchd,10011,1957,1Story,134450
CollgCr,7,Attchd,8450,2004,1Story,210000
OldTown,4,Detchd,9906,1925,2Story,107000
Crawfor,7,Attchd,15660,1939,1.5Fin,311500
Blmngtn,7,Attchd,3010,2005,1Story,167240
CollgCr,7,Attchd,8990,2006,1Story,204900
Gilbert,6,BuiltIn,8068,2002,2Story,200000
NWAmes,6,Attchd,11475,1975,2Story,179900
NAmes,4,Detchd,10500,1971,1Story,97000
NridgHt,10,Attchd,13472,2003,1Story,386250
BrDale,5,Detchd,1680,1971,2Story,112000
NoRidge,7,Attchd,9950,1995,2Story,290000
BrDale,6,Detchd,1869,1970,2Story,106000
Sawyer,5,Detchd,8521,1967,1Story,125000
Blmngtn,7,Attchd,3182,2005,1Story,192500
NAmes,6,Attchd,8760,1959,1Story,148000
NoRidge,8,Attchd,15138,1995,2Story,403000
BrDale,6,Attchd,1680,1972,2Story,94500
CollgCr,5,Attchd,10650,1976,1Story,128200
Gilbert,6,BuiltIn,7851,2002,2Story,216500
BrDale,6,Detchd,1680,1971,2Story,89500
CollgCr,7,Attchd,8773,2004,1Story,185500
SawyerW,7,Attchd,9453,1993,2Story,194500
NridgHt,8,Attchd,12030,2007,1Story,318000
Edwards,6,Detchd,8741,1945,1.5Fin,113000
Somerst,8,Attchd,9000,2008,1Story,262500
OldTown,5,NA,3880,1945,1Story,110500
OldTown,5,Attchd,5000,1900,1.5Fin,79000
SawyerW,6,Attchd,10762,1980,2Story,120000
SawyerW,7,Attchd,8880,1994,2Story,205000
NWAmes,7,Attchd,10400,1988,1Story,241500
OldTown,6,Detchd,9142,1910,2Story,137000
NAmes,6,Attchd,11310,1954,1Story,140000
CollgCr,7,Attchd,11317,2003,2Story,180000

BrkSide,3,NA,5350,1940,1Story,76500
Crawfor,8,Attchd,4750,2006,1Story,235000
SawyerW,6,Attchd,8366,2004,2Story,173000
NAmes,6,Attchd,9350,1964,SLvl,158000
NAmes,5,Attchd,8400,1957,1Story,145000
Gilbert,7,BuiltIn,8738,1999,2Story,230000
Somerst,6,Attchd,8791,2003,2Story,207500
CollgCr,7,Attchd,8814,2006,1Story,220000
CollgCr,7,Attchd,12435,2001,2Story,231500
OldTown,5,Detchd,12702,1956,1Story,97000
NAmes,6,Attchd,19296,1962,SLvl,176000
CollgCr,8,BuiltIn,9588,2007,2Story,276000
Sawyer,6,Attchd,8471,1977,SLvl,151000
OldTown,5,Detchd,5500,1929,1.5Fin,130000
OldTown,5,Detchd,5232,1925,1Story,73000
NWAmes,6,Attchd,12090,1981,1Story,175500
Gilbert,6,Attchd,11207,1997,2Story,185000
SWISU,5,Detchd,8400,1939,2.5Fin,179500
IDOTRR,5,Detchd,6900,1940,1Story,120500
Edwards,6,Attchd,7917,1976,1Story,148000
Somerst,8,Attchd,10728,2006,2Story,266000
ClearCr,7,Attchd,39104,1954,1Story,241500
NoRidge,8,Attchd,11764,1999,2Story,290000
NAmes,6,Attchd,9600,1958,1Story,139000
Mitchel,5,Attchd,8314,1982,1Story,124500
BrkSide,7,Detchd,7264,1925,1.5Fin,205000
Mitchel,7,Attchd,9196,2003,1Story,201000
Gilbert,4,Detchd,19138,1951,1Story,141000
NridgHt,9,Attchd,14450,2006,1Story,415298
ClearCr,7,Attchd,10005,1977,2Story,192000
SawyerW,7,Attchd,11287,1989,2Story,228500
Somerst,6,Attchd,7200,2006,1Story,185000
NridgHt,7,Attchd,5063,2007,1Story,207500
Somerst,8,Attchd,9612,2008,1Story,244600
SawyerW,6,Attchd,8012,1992,1Story,179200
Somerst,7,Detchd,4251,2006,2Story,164700
NAmes,6,Attchd,9786,1962,1.5Fin,159000
NAmes,4,NA,8125,1971,1Story,88000
Sawyer,5,Detchd,9819,1967,1Story,122000
BrkSide,6,Detchd,8730,1915,2Story,153575
CollgCr,8,Attchd,15611,2006,2Story,233230
SWISU,5,NA,5687,1912,2Story,135900
Edwards,5,Attchd,11409,1949,1.5Fin,131000
NWAmes,7,Attchd,16659,1977,2Story,235000
NAmes,6,Attchd,9600,1953,1Story,167000
Mitchel,6,Detchd,7937,1984,SLvl,142500
IDOTRR,5,Attchd,13710,1950,1.5Fin,152000
Somerst,7,Detchd,7399,1997,2Story,239000
NWAmes,6,Attchd,11700,1968,2Story,175000
Crawfor,6,Attchd,14000,1950,1Story,158500
Crawfor,5,Attchd,15750,1953,1Story,157000
CollgCr,8,BuiltIn,16226,1998,2Story,267000
CollgCr,7,Attchd,13704,2001,1Story,205000
CollgCr,5,Attchd,9800,1972,1Story,149900
OldTown,7,Attchd,18386,1880,2.5Fin,295000
CollgCr,8,Attchd,10386,2004,1Story,305900
SawyerW,7,Attchd,13474,1990,2Story,225000
IDOTRR,6,NA,7920,1920,1.5Fin,89500
Edwards,4,Detchd,12342,1940,1Story,82500
NridgHt,9,Attchd,12378,2003,1Story,360000
Gilbert,6,Attchd,7685,1993,2Story,165600
NAmes,6,Detchd,8000,1948,1Story,132000
OldTown,5,Detchd,7800,1939,1.5Fin,119900

OldTown,7,Detchd,9600,1925,2Story,178000
Gilbert,7,Attchd,7795,2004,2Story,188500
NWAmes,7,Attchd,13005,1980,2Story,260000
Somerst,8,Attchd,9000,2006,2Story,270000
NoRidge,7,Attchd,9900,1993,2Story,260000
NWAmes,7,Attchd,14115,1980,SLvl,187500
NridgHt,9,Attchd,16259,2006,2Story,342643
NridgHt,8,BuiltIn,12099,2004,2Story,354000
SawyerW,7,Attchd,10380,1986,2Story,301000
OldTown,3,Attchd,5820,1955,1Story,126175
NAmes,7,BuiltIn,11275,1967,SLvl,242000
IDOTRR,5,Detchd,5000,1941,1.5Unf,87000
Veenker,8,Attchd,10846,1993,1Story,324000
NAmes,6,Attchd,11600,1960,1Story,145250
BrkSide,6,Detchd,11888,1916,2.5Unf,214500
IDOTRR,5,Detchd,6402,1920,2Story,78000
NAmes,5,Detchd,10624,1964,1Story,119000
NAmes,5,Attchd,8176,1958,1Story,139000
NridgHt,8,Attchd,10655,2003,1Story,284000
NridgHt,7,Attchd,8198,2004,1Story,207000
Gilbert,6,Attchd,9042,1998,2Story,192000

StoneBr,9,Attchd,14157,2005,1Story,377426
CollgCr,7,Attchd,9135,2002,1Story,214000
NWAmes,7,Attchd,14145,1984,1Story,202500
NAmes,6,Attchd,12400,1958,1Story,155000
Timber,8,Attchd,14191,2002,2Story,202900
SawyerW,4,CarPort,8400,1950,1Story,82000
NAmes,3,Detchd,8544,1949,1Story,87500
NridgHt,9,Attchd,8849,2005,1Story,266000
MeadowV,5,Attchd,2592,1976,2Story,85000
BrkSide,6,Detchd,6435,1939,1.5Fin,140200
NAmes,6,Attchd,12772,1960,1Story,151500
NAmes,6,Attchd,17600,1960,1Story,157500
NridgHt,7,BuiltIn,2448,2003,2Story,154000
NridgHt,9,Attchd,20431,2005,2Story,437154
NridgHt,9,Attchd,7820,2007,1Story,318061
ClearCr,7,Attchd,5271,1986,1Story,190000
Edwards,5,Detchd,9084,1941,1.5Fin,95000
OldTown,6,Detchd,8520,1928,1Story,105900
SWISU,6,Attchd,8400,1940,1.5Fin,140000
CollgCr,6,Attchd,11249,1995,1Story,177500
Gilbert,6,Attchd,9248,1992,1Story,173000
MeadowV,5,Attchd,4224,1976,1Story,134000
ClearCr,5,BuiltIn,6930,1958,SLvl,130000
NoRidge,8,Attchd,12011,1998,2Story,280000
Mitchel,6,Attchd,7540,1978,SFoyer,156000
BrkSide,5,Detchd,9144,1940,1.5Fin,145000
Edwards,7,BuiltIn,7301,2003,SFoyer,198500
BrDale,6,Detchd,1680,1972,2Story,118000
NWAmes,6,Attchd,18800,1976,2Story,190000
IDOTRR,5,Detchd,10690,1920,2Story,147000
NAmes,6,Attchd,9500,1963,1Story,159000
NAmes,6,Basment,9150,1962,SLvl,165000
NAmes,5,Attchd,7800,1954,1Story,132000
NAmes,5,Detchd,9830,1959,1Story,162000
Gilbert,6,Attchd,8121,2000,2Story,172400
ClearCr,4,Detchd,17120,1959,1.5Fin,134432
SawyerW,6,Attchd,7175,1984,1Story,125000
NAmes,5,Attchd,10634,1953,1Story,123000
CollgCr,7,BuiltIn,8200,2003,2Story,219500
Edwards,1,NA,10020,1922,1Story,61000
CollgCr,5,Detchd,8846,1996,SFoyer,148000
Somerst,8,Attchd,11143,2004,2Story,340000
StoneBr,9,Attchd,11394,2010,1Story,394432
Gilbert,6,Attchd,8123,2000,2Story,179000
SWISU,5,Detchd,5000,1924,1.5Fin,127000
Somerst,7,Attchd,7200,2006,1Story,187750
CollgCr,7,Attchd,9245,2006,2Story,213500
SawyerW,6,Detchd,9000,1928,1.5Unf,76000
ClearCr,6,Attchd,53107,1992,2Story,240000
Blmngtn,8,Attchd,3182,2004,1Story,192000
Edwards,5,NA,8410,1910,1.5Fin,81000
Edwards,6,Detchd,7200,1976,SLvl,125000
CollgCr,7,Attchd,9382,1999,1Story,191000
NridgHt,10,BuiltIn,12474,2007,2Story,426000
Edwards,5,Detchd,8405,1900,1.5Fin,119000
Mitchel,6,BuiltIn,12209,2001,2Story,215000
NAmes,5,Attchd,8339,1959,1Story,106500
BrkSide,4,NA,7446,1941,1Story,100000
OldTown,5,Detchd,10134,1940,1.5Fin,109000
Edwards,5,Attchd,9571,1956,1Story,129000
CollgCr,5,Detchd,7200,1972,1Story,123000
NAmes,5,Attchd,7590,1962,2Story,169500
IDOTRR,5,Detchd,8967,1920,1Story,67000
Somerst,7,Attchd,8125,2006,2Story,241000
Veenker,8,Attchd,14963,1996,1Story,245500
CollgCr,7,Attchd,8767,2005,1Story,164990
Sawyer,5,Detchd,10200,1940,1Story,108000
NoRidge,8,BuiltIn,12090,1998,2Story,258000
Gilbert,6,BuiltIn,10364,1995,2Story,168000
Sawyer,4,Attchd,9991,1976,1Story,150000
SWISU,6,Detchd,10480,1936,1.5Fin,115000
Crawfor,6,Attchd,15576,1915,2Story,177000
NridgHt,7,Attchd,14154,2006,2Story,280000
Somerst,8,Attchd,10800,2007,2Story,339750
Edwards,5,Attchd,9571,1958,1Story,60000
Gilbert,5,Attchd,34650,1955,1Story,145000
Somerst,7,Attchd,4403,2009,1Story,222000
OldTown,5,Detchd,8960,1927,1Story,115000
SawyerW,7,Attchd,11228,1993,2Story,228000
Gilbert,7,Attchd,8899,2007,1Story,181134
Sawyer,6,Attchd,7844,1978,2Story,149500
Crawfor,6,Detchd,22420,1918,2Story,239000
Edwards,5,Detchd,8160,1940,1.5Fin,126000
NAmes,5,Attchd,8450,1968,1Story,142000
Mitchel,7,Attchd,7060,1997,SFoyer,206300
NWAmes,6,Attchd,16635,1977,1Story,215000
Mitchel,5,Attchd,21750,1954,1Story,113000
NoRidge,8,Attchd,9200,1998,2Story,315000
NAmes,6,Attchd,9000,1956,1Story,139000
OldTown,7,Detchd,3378,1946,2Story,135000
SawyerW,7,Attchd,12800,1989,SLvl,275000
NAmes,4,Detchd,8593,1957,1Story,109008
CollgCr,7,Attchd,6762,2007,1Story,195400
Timber,6,Attchd,11457,1988,1Story,175000
BrDale,6,Detchd,1680,1971,2Story,85400
OldTown,6,NA,5586,1920,1.5Fin,79900
BrDale,5,Detchd,1920,1971,2Story,122500
Gilbert,6,Attchd,10839,1997,2Story,181000
MeadowV,4,NA,1890,1972,SFoyer,81000
CollgCr,7,Attchd,10667,1996,2Story,212000
OldTown,6,Detchd,4400,1920,1.5Fin,116000
BrkSide,6,Detchd,6000,1926,1.5Unf,119000
Crawfor,5,Detchd,4280,1913,1Story,90350
Edwards,6,Detchd,12354,1920,1.5Fin,110000
NridgHt,10,Attchd,15431,2008,1Story,555000
Edwards,4,NA,12108,1955,1Story,118000
BrkSide,5,Detchd,6240,1930,1.5Fin,162900
Blmngtn,7,Attchd,3922,2006,1Story,172500
CollgCr,7,Attchd,8750,1994,2Story,210000
Edwards,6,Attchd,9855,1956,1Story,127500
NAmes,6,Attchd,16492,1966,1Story,190000
Gilbert,7,Attchd,11214,1998,2Story,199900
IDOTRR,6,Detchd,8600,1937,1.5Fin,119500
OldTown,3,Detchd,6000,1948,1.5Fin,120000
OldTown,6,Detchd,5684,1930,1Story,110000
ClearCr,7,Attchd,70761,1975,1Story,280000
Timber,6,Attchd,9303,1996,2Story,204000
Somerst,8,Attchd,9000,2008,2Story,210000
Mitchel,5,Detchd,9297,1976,1Story,188000
NWAmes,7,Attchd,9600,1973,1Story,175500
OldTown,5,Detchd,4571,1916,2Story,98000
ClearCr,4,Attchd,53227,1954,1Story,256000
OldTown,8,Detchd,5100,1925,2Story,161000
BrkSide,5,Detchd,7015,1950,1.5Fin,110000
Somerst,8,BuiltIn,8004,2009,2Story,263435
SWISU,7,Detchd,7200,1936,2Story,155000
Sawyer,5,Detchd,8281,1965,1Story,62383
Crawfor,6,Detchd,11988,1934,2Story,188700
CollgCr,5,NA,8430,1978,1Story,124000
Blmngtn,7,Attchd,3072,2004,1Story,178740
NAmes,7,Attchd,10628,1970,1Story,167000
NAmes,5,Attchd,9480,1942,2Story,146500
NridgHt,8,Attchd,11428,2006,1Story,250000
SawyerW,6,Attchd,9291,1993,2Story,187000
StoneBr,8,Attchd,6820,1985,1Story,212000
NWAmes,7,Attchd,11952,1977,2Story,190000
Edwards,6,Basment,3675,2005,SLvl,148000
NridgHt,8,Attchd,14977,2006,1Story,440000
StoneBr,8,Attchd,5330,2000,1Story,251000
Sawyer,5,Detchd,8480,1963,1Story,132500
CollgCr,6,Attchd,13125,1997,1Story,208900
NridgHt,9,BuiltIn,13693,2006,2Story,380000
CollgCr,8,Attchd,10637,2007,1Story,297000
OldTown,4,Detchd,5925,1937,1Story,89471
NridgHt,9,Attchd,16033,2004,1Story,326000
NridgHt,9,Attchd,11846,2003,1Story,374000
OldTown,7,Attchd,2500,1915,2Story,155000
Mitchel,6,Attchd,4500,1998,1Story,164000
Sawyer,5,Detchd,7758,1962,1Story,132500
NAmes,5,Attchd,9600,1950,1Story,147000
NAmes,5,Attchd,10289,1965,1Story,156000
NWAmes,5,Attchd,12243,1971,1Story,175000
OldTown,5,Attchd,10800,1900,1.5Fin,160000
MeadowV,4,Attchd,1526,1970,SFoyer,86000
MeadowV,5,BuiltIn,2665,1976,2Story,115000
NAmes,6,Attchd,9490,1941,1.5Fin,133000
Gilbert,6,Attchd,15578,2006,2Story,172785
NAmes,5,Detchd,7931,1960,1Story,155000
OldTown,5,Attchd,5784,1938,1Story,91300
IDOTRR,4,NA,7879,1920,1Story,34900
NoRidge,8,Attchd,12692,1992,1Story,430000
BrkSide,7,Detchd,9120,1925,1.5Fin,184000
Sawyer,5,Attchd,7800,1967,1Story,130000
NAmes,5,Attchd,7535,1958,1Story,120000
BrDale,6,Detchd,1890,1973,2Story,113000
Somerst,7,Attchd,9803,2005,2Story,226700
Edwards,5,Detchd,9170,1965,1Story,140000
Crawfor,7,Attchd,15602,1959,1Story,289000
NPkVill,6,Attchd,2308,1974,2Story,147000
OldTown,5,Detchd,7596,1952,2Story,124500
SawyerW,8,Attchd,9554,1993,2Story,215000
Somerst,6,Attchd,7862,2009,1Story,208300
OldTown,7,Detchd,9600,1928,2Story,161000
NAmes,5,Attchd,9600,1959,1Story,124500
NAmes,5,CarPort,14559,1951,1Story,164900
NridgHt,7,Attchd,6792,2005,1Story,202665
NAmes,5,Detchd,9100,1958,1Story,129900
Mitchel,6,Attchd,9187,1983,1Story,134000
Crawfor,5,Detchd,10594,1926,1.5Unf,96500
NridgHt,10,Attchd,12220,2009,1Story,402861
NWAmes,6,Attchd,10448,1972,SLvl,158000
NoRidge,7,Attchd,10208,1996,2Story,265000
CollgCr,6,Attchd,9531,1998,2Story,211000
Crawfor,7,Detchd,10918,1926,2Story,234000
OldTown,4,NA,10800,1900,2Story,106250
NAmes,6,Attchd,11988,1957,1Story,150000
BrkSide,6,Detchd,5000,1947,1.5Fin,159000
Edwards,10,BuiltIn,40094,2007,2Story,184750
NoRidge,7,Attchd,11787,1996,2Story,315750
Somerst,7,Attchd,7500,2005,1Story,176000
NAmes,5,Attchd,13300,1956,1Story,132000
NridgHt,9,Attchd,14948,2008,2Story,446261
Edwards,4,NA,9098,1920,1Story,86000
Crawfor,6,Attchd,32668,1957,1Story,200624
Timber,6,Attchd,10200,1988,SLvl,175000
BrkSide,6,Detchd,6155,1920,2Story,128000
NAmes,5,Detchd,7200,1955,1Story,107500
BrkSide,1,NA,5000,1946,1Story,39300
Gilbert,8,Attchd,9056,2004,2Story,178000
Edwards,5,NA,7000,1910,2Story,107500
